district,property_type,built_area_sqft,plot_area_sqft,bedrooms,bathrooms,age_of_property_yrs,sale_price_rs,latitude,longitude,ownership_type,distance_to_city_center_km,nearest_school_distance_km,metro_distance_km,flood_risk_score,road_access_width_ft,district_taluk
Kanyakumari,flat,413,413.0,1,1,41,627858.34,10.93554,77.16505,freehold,15.48,4.34,24.3,0.61,44,Kanyakumari_Taluk_5
Kanyakumari,house,1702,2929.62,2,1,14,2652577.57,8.23465,78.33412,freehold,6.37,1.29,13.4,0.68,44,Kanyakumari_Taluk_4
Kanyakumari,plot,2149,4697.17,2,3,44,2928324.65,8.87379,79.81284,freehold,6.34,3.02,17.61,0.98,56,Kanyakumari_Taluk_8
Kanyakumari,flat,2826,2826.0,3,3,38,3846992.88,12.01268,78.2456,freehold,11.42,9.7,19.28,0.81,27,Kanyakumari_Taluk_3
Kanyakumari,plot,1078,2592.88,1,1,17,2218433.92,11.81008,78.75829,freehold,14.79,7.46,14.3,0.79,27,Kanyakumari_Taluk_1
Kanyakumari,house,3979,7276.83,5,6,8,9073677.21,11.65852,77.68743,freehold,6.48,9.7,28.95,0.72,14,Kanyakumari_Taluk_1
Kanyakumari,plot,1821,2514.4,3,3,3,4336685.5,9.64746,78.52265,freehold,8.41,9.0,9.02,0.87,23,Kanyakumari_Taluk_4
Kanyakumari,flat,1573,1573.0,1,2,47,1979883.25,8.95048,76.93495,leasehold,1.77,1.44,14.66,0.82,10,Kanyakumari_Taluk_5
Kanyakumari,flat,1558,1558.0,1,2,11,3526817.17,11.02966,78.58759,freehold,17.92,1.06,24.1,0.98,48,Kanyakumari_Taluk_2
Kanyakumari,flat,3105,3105.0,4,4,14,6001949.4,9.02488,77.68323,leasehold,24.59,3.17,22.03,0.82,40,Kanyakumari_Taluk_5
Kanyakumari,flat,2434,2434.0,4,5,38,3512306.49,8.25656,79.93251,freehold,2.07,6.37,23.49,0.75,43,Kanyakumari_Taluk_1
Kanyakumari,commercial,3003,4951.0,3,3,5,7018581.54,11.90526,79.88685,freehold,11.78,2.96,8.34,0.88,19,Kanyakumari_Taluk_2
Kanyakumari,plot,2002,3077.91,2,1,47,2084150.63,12.51419,79.20902,freehold,6.72,8.9,7.24,0.81,33,Kanyakumari_Taluk_8
Kanyakumari,flat,1952,1952.0,3,3,18,3387181.49,8.60175,79.54893,freehold,17.75,2.96,14.17,0.64,33,Kanyakumari_Taluk_8
Kanyakumari,commercial,3957,6959.43,5,6,34,6334404.41,13.21622,77.04614,leasehold,6.42,1.61,12.92,0.7,40,Kanyakumari_Taluk_5
Kanyakumari,commercial,3527,4785.06,5,4,39,4005931.45,13.05323,77.75525,leasehold,18.79,1.11,21.11,0.73,45,Kanyakumari_Taluk_6
Kanyakumari,house,2167,2582.0,2,3,16,4272351.34,8.70959,78.31888,freehold,0.74,4.68,13.23,0.71,52,Kanyakumari_Taluk_8
Kanyakumari,flat,2921,2921.0,4,5,42,4124660.46,10.84293,78.04161,freehold,7.7,5.02,23.18,0.64,29,Kanyakumari_Taluk_6
Kanyakumari,house,1436,3172.7,1,1,44,1828675.16,10.97683,78.0231,freehold,22.92,2.41,23.79,0.85,25,Kanyakumari_Taluk_9
Kanyakumari,flat,1039,1039.0,1,2,2,2032892.13,13.35902,77.9585,freehold,13.2,7.5,9.35,0.93,19,Kanyakumari_Taluk_9
Kanyakumari,commercial,1539,3382.78,2,3,7,2591650.57,10.45091,79.49184,freehold,11.51,3.67,28.24,0.69,41,Kanyakumari_Taluk_10
Kanyakumari,commercial,2979,3753.69,3,3,49,3257349.76,11.31881,77.73644,freehold,14.07,3.68,16.38,0.78,15,Kanyakumari_Taluk_2
Kanyakumari,commercial,1514,1812.94,2,2,37,2319392.33,8.68722,79.59345,freehold,19.31,2.03,21.1,0.75,38,Kanyakumari_Taluk_5
Kanyakumari,house,2007,2462.08,2,1,32,2939270.84,12.51198,79.87159,leasehold,13.45,1.31,20.97,0.85,46,Kanyakumari_Taluk_8
Kanyakumari,flat,3949,3949.0,4,5,9,7187244.89,11.66876,78.2213,freehold,11.08,9.99,10.51,0.85,25,Kanyakumari_Taluk_1
Kanyakumari,flat,1221,1221.0,2,3,33,2034287.99,9.21057,79.83422,freehold,13.44,5.21,7.67,0.92,37,Kanyakumari_Taluk_8
Kanyakumari,commercial,2628,5531.7,3,2,19,4868373.55,13.04164,80.2631,freehold,2.34,2.01,6.23,0.84,16,Kanyakumari_Taluk_5
Kanyakumari,commercial,1849,4228.09,2,1,37,2442384.11,12.70353,76.73716,leasehold,20.62,9.73,16.35,0.99,57,Kanyakumari_Taluk_9
Kanyakumari,plot,750,940.18,1,1,28,1334688.86,9.62393,76.6185,freehold,4.68,4.93,16.6,0.84,38,Kanyakumari_Taluk_1
Kanyakumari,commercial,2819,4703.35,3,2,37,4161465.48,10.45003,77.30262,freehold,18.27,8.53,29.36,0.66,55,Kanyakumari_Taluk_6
Kanyakumari,commercial,465,1060.51,1,2,46,578319.88,10.04555,78.08549,freehold,16.36,2.16,21.25,0.95,48,Kanyakumari_Taluk_9
Kanyakumari,flat,3344,3344.0,4,5,37,4755011.13,8.16265,78.96388,freehold,5.71,1.87,6.61,0.95,19,Kanyakumari_Taluk_3
Kanyakumari,flat,980,980.0,1,1,33,1419679.92,8.55718,78.94052,freehold,23.25,6.77,12.79,0.78,30,Kanyakumari_Taluk_7
Kanyakumari,commercial,448,883.7,1,1,47,492811.38,10.55373,78.11167,freehold,12.21,4.2,22.06,0.75,54,Kanyakumari_Taluk_10
Kanyakumari,flat,3817,3817.0,5,6,43,3991523.96,10.39377,76.52823,freehold,8.9,7.0,7.56,0.89,25,Kanyakumari_Taluk_4
Kanyakumari,plot,1844,3089.02,2,3,30,3308017.77,11.0493,77.89449,leasehold,24.59,5.45,26.73,0.83,36,Kanyakumari_Taluk_9
Kanyakumari,house,3561,6809.97,5,5,37,5510413.81,13.29338,76.80424,freehold,21.99,3.19,18.76,0.81,47,Kanyakumari_Taluk_6
Kanyakumari,commercial,2980,5434.71,4,5,20,5706294.13,10.92613,78.81827,freehold,1.69,8.59,15.95,0.85,38,Kanyakumari_Taluk_5
Kanyakumari,plot,3742,7327.79,5,5,9,7669755.35,12.97936,78.53313,freehold,5.07,2.69,9.61,0.78,31,Kanyakumari_Taluk_2
Kanyakumari,plot,1238,2091.51,1,1,39,1426154.93,13.28714,79.53325,freehold,13.37,1.99,10.07,0.61,42,Kanyakumari_Taluk_8
Kanyakumari,plot,3976,8420.22,4,3,26,5905823.27,11.14401,76.73339,freehold,1.15,7.62,20.64,0.67,37,Kanyakumari_Taluk_10
Kanyakumari,plot,3287,7338.08,4,3,4,7886919.46,11.47131,77.5899,freehold,17.39,3.55,22.35,0.8,11,Kanyakumari_Taluk_1
Kanyakumari,plot,2984,3836.09,3,2,26,5641329.77,9.61725,79.75986,freehold,15.89,2.66,7.64,0.64,12,Kanyakumari_Taluk_5
Kanyakumari,flat,2453,2453.0,3,3,5,5609119.61,11.65944,77.90511,freehold,2.23,6.94,25.23,0.91,31,Kanyakumari_Taluk_3
Kanyakumari,commercial,1204,1629.17,2,3,23,1869674.3,10.9479,76.62574,leasehold,16.19,3.83,28.95,0.99,54,Kanyakumari_Taluk_4
Kanyakumari,flat,3949,3949.0,4,5,2,9116054.66,12.62312,79.36049,freehold,4.81,3.12,17.36,0.75,35,Kanyakumari_Taluk_10
Kanyakumari,flat,3292,3292.0,4,5,9,7167974.21,9.23863,79.29057,freehold,12.77,9.21,8.67,0.86,26,Kanyakumari_Taluk_8
Kanyakumari,house,2690,3590.18,4,5,15,5134537.99,10.25322,77.6452,freehold,9.09,8.49,17.34,0.9,13,Kanyakumari_Taluk_2
Kanyakumari,flat,1722,1722.0,2,3,12,3897123.96,10.15092,79.18131,freehold,7.66,3.65,13.86,0.66,32,Kanyakumari_Taluk_9
Kanyakumari,house,3414,5135.71,4,5,2,6675133.86,12.40547,77.95162,freehold,22.03,2.77,28.68,0.81,11,Kanyakumari_Taluk_7
Kanyakumari,house,1400,3338.72,1,2,31,2472200.34,11.54209,80.1335,freehold,11.6,9.51,21.92,0.97,10,Kanyakumari_Taluk_1
Kanyakumari,plot,3659,5409.67,5,6,47,4731660.51,12.43251,77.47031,freehold,8.72,6.17,17.87,0.78,28,Kanyakumari_Taluk_5
Kanyakumari,flat,2000,2000.0,2,3,21,3395296.83,10.90774,79.07533,leasehold,18.47,8.56,18.62,0.73,13,Kanyakumari_Taluk_4
Kanyakumari,house,2739,6202.1,4,3,17,4707585.79,8.16459,76.87126,freehold,16.57,5.84,21.93,0.78,53,Kanyakumari_Taluk_1
Kanyakumari,plot,2038,2960.51,2,3,28,2670914.95,8.28383,78.85371,freehold,11.66,9.02,19.24,0.84,18,Kanyakumari_Taluk_4
Kanyakumari,house,2926,6119.16,4,3,36,3623667.91,8.74788,79.75448,freehold,0.67,5.2,22.14,0.86,48,Kanyakumari_Taluk_4
Kanyakumari,flat,2377,2377.0,2,3,19,3865949.84,12.93841,79.14348,freehold,5.98,8.71,25.43,0.79,13,Kanyakumari_Taluk_10
Kanyakumari,commercial,539,1289.17,1,2,13,1002249.14,9.59247,78.12254,leasehold,8.1,7.86,28.4,0.91,19,Kanyakumari_Taluk_2
Kanyakumari,plot,3642,4832.03,4,3,44,4037264.58,8.49958,79.453,freehold,15.79,5.27,26.89,0.73,38,Kanyakumari_Taluk_6
Kanyakumari,plot,3585,8739.69,5,4,14,6290330.05,9.52919,78.17418,freehold,19.89,7.13,12.49,0.97,59,Kanyakumari_Taluk_1
Karur,commercial,1864,2516.06,2,3,15,6127042.33,10.75711,77.04672,freehold,24.51,8.82,9.35,0.21,47,Karur_Taluk_10
Karur,commercial,1852,3892.09,3,3,19,5590329.01,8.65775,76.77709,freehold,24.98,2.9,11.63,0.23,23,Karur_Taluk_2
Karur,house,1515,3568.0,2,1,7,4708698.05,8.90381,78.93327,leasehold,19.98,2.22,29.44,0.43,18,Karur_Taluk_8
Karur,flat,2681,2681.0,4,3,2,7496146.79,11.8803,79.93755,freehold,7.16,8.34,14.46,0.36,39,Karur_Taluk_5
Karur,commercial,1304,2230.47,2,2,2,4467526.39,12.65787,79.46756,freehold,10.7,2.5,29.65,0.37,32,Karur_Taluk_8
Karur,commercial,1816,4423.44,3,2,40,3846561.14,12.51707,78.33185,freehold,18.32,8.08,11.09,0.57,22,Karur_Taluk_1
Karur,plot,2045,4201.6,2,2,41,4333590.28,10.26332,78.90264,leasehold,18.43,2.57,14.03,0.15,46,Karur_Taluk_6
Karur,plot,2733,3314.14,3,4,5,8927124.36,10.58205,79.41273,freehold,7.85,1.31,20.87,0.19,33,Karur_Taluk_9
Karur,commercial,1988,4025.76,3,4,48,3936379.1,9.7139,77.9824,freehold,10.57,6.44,20.75,0.44,35,Karur_Taluk_1
Karur,house,3105,7263.53,3,3,43,6711219.16,10.46511,77.21997,freehold,6.29,2.9,23.4,0.11,39,Karur_Taluk_8
Karur,flat,1687,1687.0,3,2,46,3549753.19,10.74186,76.73937,freehold,21.36,8.77,15.17,0.25,24,Karur_Taluk_10
Karur,commercial,727,1783.48,1,2,26,1482536.85,8.18866,77.78928,freehold,14.87,5.1,17.95,0.46,51,Karur_Taluk_9
Karur,house,2860,3993.56,3,2,32,6357415.36,11.63079,78.48785,leasehold,18.44,3.1,25.33,0.54,35,Karur_Taluk_7
Karur,flat,923,923.0,2,1,41,1902688.91,12.10168,77.38535,freehold,20.83,4.74,11.46,0.47,22,Karur_Taluk_9
Karur,house,3883,6832.94,4,5,22,8467538.14,13.0573,76.67405,freehold,17.68,1.5,27.79,0.17,22,Karur_Taluk_8
Karur,house,2998,7094.85,3,3,47,5277449.9,12.53199,76.86971,freehold,14.36,9.25,25.02,0.52,47,Karur_Taluk_3
Karur,house,505,636.23,1,1,26,1347087.95,11.31288,78.83939,freehold,15.66,1.74,10.44,0.2,15,Karur_Taluk_2
Karur,commercial,2397,3724.77,3,3,5,7565852.39,13.36961,78.68867,freehold,23.4,6.73,27.47,0.52,57,Karur_Taluk_6
Karur,house,854,1648.49,2,2,24,2263699.78,9.91172,76.95883,freehold,11.45,8.0,10.51,0.31,24,Karur_Taluk_4
Karur,flat,3523,3523.0,5,4,12,11982014.26,10.46877,80.01757,freehold,23.35,2.13,14.55,0.15,51,Karur_Taluk_6
Karur,commercial,3079,6739.09,3,3,47,5707752.65,8.1844,78.35048,freehold,18.02,4.87,12.66,0.19,21,Karur_Taluk_10
Karur,plot,532,895.2,1,2,29,1251675.27,12.46002,79.43574,freehold,24.33,1.04,15.32,0.2,21,Karur_Taluk_2
Karur,commercial,732,1227.45,1,1,36,1420862.83,13.16568,78.82004,freehold,24.71,4.5,23.32,0.19,55,Karur_Taluk_5
Karur,house,428,846.61,1,1,14,1189122.38,12.32595,77.82184,freehold,6.24,1.18,26.98,0.22,41,Karur_Taluk_8
Karur,house,2511,4937.85,3,3,23,5297919.44,12.75875,80.24977,freehold,17.17,8.43,8.67,0.33,12,Karur_Taluk_2
Karur,plot,905,1062.74,2,1,47,1336286.06,8.70847,77.06703,freehold,15.75,3.78,14.22,0.56,32,Karur_Taluk_4
Karur,flat,1572,1572.0,1,1,20,4723975.29,8.9627,80.00616,freehold,3.91,5.68,5.93,0.28,37,Karur_Taluk_8
Karur,commercial,3900,5662.54,4,5,39,7484438.34,11.43082,79.8823,freehold,5.78,8.32,10.43,0.15,55,Karur_Taluk_4
Karur,flat,3173,3173.0,3,3,4,9389628.43,8.95345,76.61045,freehold,23.83,1.45,8.75,0.14,33,Karur_Taluk_1
Karur,commercial,1072,2068.73,1,1,45,1622638.47,9.86025,77.25526,freehold,24.03,1.4,8.58,0.26,11,Karur_Taluk_4
Karur,plot,1016,1441.6,1,2,1,3560633.23,9.38044,78.06786,freehold,20.66,1.12,18.55,0.55,38,Karur_Taluk_2
Karur,commercial,1443,2769.3,1,1,37,3219670.29,8.39343,78.15629,freehold,3.58,7.89,10.25,0.4,50,Karur_Taluk_2
Karur,commercial,1746,2833.55,2,1,50,3295983.59,10.5718,77.23779,freehold,5.72,6.47,7.09,0.23,44,Karur_Taluk_3
Karur,flat,2779,2779.0,4,3,33,6502744.25,8.27331,78.66093,freehold,6.7,8.23,25.45,0.16,29,Karur_Taluk_6
Karur,commercial,1838,3097.97,2,2,32,3614936.45,12.20583,77.33544,freehold,13.9,5.92,7.24,0.18,21,Karur_Taluk_8
Karur,flat,3164,3164.0,3,3,38,7651917.87,11.22186,78.60047,freehold,22.98,7.88,6.98,0.31,53,Karur_Taluk_10
Karur,commercial,1048,2417.82,2,2,22,2333231.3,9.26879,78.29926,freehold,15.77,4.2,24.72,0.11,45,Karur_Taluk_9
Karur,flat,3278,3278.0,4,4,15,10024783.03,9.43829,78.15015,freehold,21.91,2.14,26.66,0.56,35,Karur_Taluk_7
Karur,house,852,1435.52,2,3,15,2374912.66,8.33881,80.26684,freehold,3.37,5.08,26.33,0.35,24,Karur_Taluk_3
Karur,commercial,832,1473.45,1,1,20,2574542.09,12.40929,79.62091,freehold,13.08,9.55,18.39,0.22,29,Karur_Taluk_7
Karur,house,2605,5393.45,3,2,38,5080189.5,10.29574,77.32842,freehold,20.23,4.05,6.39,0.22,49,Karur_Taluk_9
Karur,house,1953,3460.12,2,1,31,4485657.1,9.74612,79.17256,leasehold,14.53,3.15,24.85,0.47,46,Karur_Taluk_2
Karur,commercial,2993,5235.55,4,3,3,11378242.05,8.84857,79.17191,freehold,19.44,1.96,24.46,0.54,39,Karur_Taluk_1
Karur,house,3854,8881.68,4,5,15,12437131.31,8.48177,79.89505,freehold,7.61,1.74,12.46,0.12,30,Karur_Taluk_8
Karur,plot,2675,5556.72,4,3,31,5587212.59,11.40751,78.68587,freehold,11.72,7.84,10.15,0.44,37,Karur_Taluk_7
Karur,plot,836,1780.73,1,1,2,2724503.37,8.39598,80.09222,freehold,7.51,7.5,28.63,0.54,54,Karur_Taluk_10
Karur,commercial,2673,4308.41,3,4,44,5637978.72,11.44332,77.88917,freehold,5.36,8.87,13.81,0.38,40,Karur_Taluk_2
Karur,flat,3786,3786.0,4,3,41,6826930.01,8.84739,77.77273,freehold,13.22,3.11,8.09,0.42,33,Karur_Taluk_2
Karur,flat,3580,3580.0,4,4,26,8446388.27,12.16714,79.39137,freehold,23.12,5.9,11.74,0.55,35,Karur_Taluk_10
Karur,commercial,536,797.57,1,2,7,1521992.74,8.44219,77.81186,freehold,16.97,1.47,7.84,0.36,44,Karur_Taluk_9
Karur,commercial,1658,3471.45,2,3,30,4389351.59,11.76286,78.52485,freehold,15.27,7.55,7.88,0.41,24,Karur_Taluk_2
Karur,flat,814,814.0,1,1,36,1901327.11,12.91628,78.23992,freehold,13.72,1.7,5.45,0.55,24,Karur_Taluk_2
Karur,house,2691,3372.12,4,4,49,3935361.27,9.59009,79.14891,freehold,21.31,5.8,16.78,0.54,11,Karur_Taluk_5
Karur,house,522,788.45,1,1,10,1729924.0,13.3357,78.55745,freehold,4.62,5.61,17.18,0.27,44,Karur_Taluk_9
Karur,house,1304,1966.59,1,2,43,2517730.01,8.43993,79.81282,freehold,1.73,1.57,9.68,0.57,48,Karur_Taluk_8
Karur,commercial,420,802.28,1,2,14,1046278.02,11.64111,79.48993,freehold,20.98,2.39,12.53,0.43,59,Karur_Taluk_6
Karur,commercial,1574,2740.66,1,1,3,4284714.08,11.16316,79.91347,freehold,11.53,2.84,19.16,0.49,30,Karur_Taluk_9
Karur,commercial,2081,3372.6,2,3,48,3027419.27,9.65599,79.71295,freehold,20.99,5.61,18.18,0.24,12,Karur_Taluk_4
Karur,flat,795,795.0,1,1,1,2454450.24,11.94379,77.58394,leasehold,15.04,2.89,7.91,0.52,37,Karur_Taluk_3
Karur,flat,1053,1053.0,2,2,16,2432920.76,9.38469,76.65638,freehold,9.32,1.81,11.42,0.16,33,Karur_Taluk_3
Karur,plot,628,853.01,1,1,33,1660031.57,11.13743,76.63182,freehold,0.55,6.75,8.53,0.27,27,Karur_Taluk_5
Karur,commercial,955,1772.3,2,1,42,1561744.37,8.97803,77.64593,leasehold,17.73,4.62,28.0,0.3,31,Karur_Taluk_6
Karur,flat,1145,1145.0,1,1,41,2057312.21,13.21806,80.02568,freehold,8.76,4.62,6.28,0.59,51,Karur_Taluk_8
Karur,plot,2565,5145.75,3,2,7,7221099.23,9.69601,79.90471,leasehold,23.33,1.94,11.7,0.48,17,Karur_Taluk_9
Karur,flat,3574,3574.0,4,5,25,7814494.56,12.41771,79.26847,leasehold,20.06,7.37,9.76,0.27,48,Karur_Taluk_10
Karur,commercial,2923,6898.99,3,3,49,5801871.15,8.85289,78.59365,freehold,2.22,4.19,17.58,0.3,47,Karur_Taluk_2
Karur,commercial,1067,1707.57,1,2,43,1790110.66,9.86238,78.81097,freehold,9.78,8.59,21.11,0.36,20,Karur_Taluk_4
Karur,flat,1271,1271.0,1,2,6,4229162.9,8.22176,78.54597,freehold,5.78,2.99,23.23,0.44,18,Karur_Taluk_5
Karur,commercial,1727,2369.84,2,2,40,3040189.89,9.81589,78.7993,leasehold,20.04,7.48,7.15,0.55,28,Karur_Taluk_2
Karur,commercial,3510,4588.01,4,5,15,9336520.54,12.71054,77.90459,freehold,3.33,4.5,5.93,0.24,37,Karur_Taluk_6
Karur,plot,612,1510.74,1,2,13,1593631.24,12.82123,76.83287,freehold,3.45,8.66,8.92,0.32,50,Karur_Taluk_6
Karur,commercial,1889,2841.22,2,2,11,6595295.39,12.45063,80.18737,freehold,2.89,3.73,20.96,0.55,39,Karur_Taluk_7
Karur,house,3729,4851.78,4,5,1,12113031.25,9.73745,80.25585,freehold,20.97,9.65,24.38,0.27,42,Karur_Taluk_3
Karur,commercial,1022,1250.75,2,3,39,2311258.52,10.31109,79.97476,freehold,12.97,1.56,14.6,0.38,49,Karur_Taluk_10
Karur,flat,2223,2223.0,2,1,7,8073036.38,9.17599,79.66268,freehold,11.58,2.29,14.74,0.35,16,Karur_Taluk_10
Krishnagiri,plot,3934,7048.71,4,4,19,19098149.66,12.09522,77.35318,freehold,7.7,7.05,22.55,0.18,43,Krishnagiri_Taluk_5
Krishnagiri,commercial,1725,2197.39,3,4,47,5004265.11,11.69593,77.59322,freehold,12.39,8.0,14.56,0.55,46,Krishnagiri_Taluk_5
Krishnagiri,house,1642,2080.57,3,3,31,6566410.06,9.59697,80.27847,freehold,21.29,9.0,17.1,0.47,25,Krishnagiri_Taluk_4
Krishnagiri,commercial,3180,6015.94,3,2,48,9995352.35,12.78907,78.88638,freehold,14.64,6.83,5.73,0.45,22,Krishnagiri_Taluk_10
Krishnagiri,plot,464,843.34,1,1,46,1187509.11,11.20642,79.71206,freehold,5.24,9.56,15.22,0.13,21,Krishnagiri_Taluk_2
Krishnagiri,commercial,1320,3075.13,1,1,24,6050987.84,8.83169,77.12057,freehold,13.68,5.58,11.08,0.31,48,Krishnagiri_Taluk_6
Krishnagiri,house,1223,1841.59,2,1,3,7597075.52,10.95991,80.058,freehold,16.79,1.95,21.8,0.48,47,Krishnagiri_Taluk_6
Krishnagiri,house,3706,7183.22,4,5,21,15855605.01,9.00253,77.72591,freehold,17.6,3.41,29.98,0.52,48,Krishnagiri_Taluk_3
Krishnagiri,plot,795,1637.4,1,2,38,3177008.14,11.81707,76.86417,freehold,24.23,5.86,16.46,0.51,54,Krishnagiri_Taluk_5
Krishnagiri,flat,1756,1756.0,2,3,35,7189215.92,10.89812,77.91745,freehold,22.7,5.87,20.74,0.27,59,Krishnagiri_Taluk_1
Krishnagiri,house,683,959.63,1,2,14,2882701.84,10.81827,79.65998,freehold,12.84,8.47,21.6,0.38,18,Krishnagiri_Taluk_3
Krishnagiri,house,1446,2435.48,2,2,26,6037792.66,13.04657,76.94295,freehold,18.09,6.23,28.69,0.11,52,Krishnagiri_Taluk_9
Krishnagiri,plot,3269,6758.56,4,3,27,14262807.9,8.85068,78.17936,leasehold,16.32,9.03,23.32,0.36,41,Krishnagiri_Taluk_6
Krishnagiri,flat,461,461.0,1,2,36,1849166.74,11.93343,76.60929,freehold,10.96,6.84,23.18,0.21,42,Krishnagiri_Taluk_6
Krishnagiri,flat,2429,2429.0,3,3,11,11108886.74,9.76011,77.2974,leasehold,12.71,3.97,16.02,0.31,51,Krishnagiri_Taluk_3
Krishnagiri,house,3852,4338.62,4,5,28,15972407.34,10.71498,78.13874,freehold,24.03,6.94,18.07,0.12,17,Krishnagiri_Taluk_2
Krishnagiri,house,565,992.54,1,1,28,2638519.04,13.00606,76.66447,freehold,1.67,4.17,26.41,0.11,26,Krishnagiri_Taluk_9
Krishnagiri,house,2526,6032.43,3,4,41,9500474.09,9.20917,79.92446,freehold,19.49,7.62,24.93,0.28,15,Krishnagiri_Taluk_2
Krishnagiri,flat,3081,3081.0,4,5,34,10690963.93,12.66765,80.07901,leasehold,14.88,1.93,23.25,0.27,25,Krishnagiri_Taluk_2
Krishnagiri,flat,1815,1815.0,2,2,25,6726592.01,10.82651,76.75968,freehold,18.5,3.27,17.27,0.48,37,Krishnagiri_Taluk_3
Krishnagiri,flat,981,981.0,1,1,22,3678256.57,11.96538,80.1642,freehold,3.59,5.77,11.72,0.48,17,Krishnagiri_Taluk_9
Krishnagiri,house,3850,9216.61,5,6,13,19373101.92,13.07058,79.73493,freehold,13.71,9.72,17.11,0.45,40,Krishnagiri_Taluk_1
Krishnagiri,commercial,2058,4204.36,3,3,49,6927432.9,8.67955,79.67202,leasehold,11.04,3.88,27.67,0.31,16,Krishnagiri_Taluk_3
Krishnagiri,flat,3589,3589.0,4,3,2,17734340.63,10.30092,79.39336,freehold,17.29,9.84,22.28,0.33,39,Krishnagiri_Taluk_9
Krishnagiri,flat,1226,1226.0,2,3,19,5959835.9,10.77741,77.87275,freehold,21.37,4.21,11.53,0.46,58,Krishnagiri_Taluk_9
Krishnagiri,plot,2675,4791.45,3,4,31,11533384.02,10.17782,78.23639,freehold,16.36,9.72,22.85,0.44,43,Krishnagiri_Taluk_2
Krishnagiri,flat,1395,1395.0,1,1,39,4826310.35,11.09115,77.60424,leasehold,18.87,7.55,20.75,0.19,28,Krishnagiri_Taluk_8
Krishnagiri,commercial,2750,6640.47,4,4,47,9145381.23,10.08418,76.54859,freehold,4.51,3.49,6.64,0.44,16,Krishnagiri_Taluk_2
Krishnagiri,commercial,1277,2339.12,1,1,48,4341180.37,11.7532,76.95303,freehold,3.7,4.35,5.65,0.45,51,Krishnagiri_Taluk_7
Krishnagiri,flat,1632,1632.0,2,2,6,7266251.05,8.44944,80.20579,freehold,12.12,1.09,7.12,0.4,13,Krishnagiri_Taluk_2
Krishnagiri,house,2163,3084.48,3,2,12,12012341.41,10.3934,78.39662,freehold,17.24,1.47,24.57,0.48,21,Krishnagiri_Taluk_7
Krishnagiri,plot,1713,3698.07,2,3,30,7567740.04,12.42531,80.08426,freehold,15.95,7.73,10.24,0.43,20,Krishnagiri_Taluk_10
Krishnagiri,commercial,1969,3575.67,2,3,28,8768173.36,8.89582,78.22761,freehold,5.08,1.6,29.96,0.34,53,Krishnagiri_Taluk_7
Krishnagiri,flat,2059,2059.0,2,3,37,6880863.8,8.26051,79.30363,freehold,21.53,3.09,7.89,0.35,15,Krishnagiri_Taluk_4
Krishnagiri,flat,972,972.0,2,3,38,3819654.41,10.16622,79.08098,freehold,12.74,1.55,22.86,0.41,13,Krishnagiri_Taluk_1
Krishnagiri,house,2121,4296.11,3,2,36,7136905.27,10.90772,78.37031,freehold,13.22,9.81,22.41,0.25,10,Krishnagiri_Taluk_2
Krishnagiri,commercial,3074,5553.83,4,4,9,15308253.48,11.02917,79.57603,freehold,8.69,5.7,19.64,0.11,12,Krishnagiri_Taluk_8
Krishnagiri,commercial,2913,6793.63,3,3,30,10844722.86,8.74332,78.21044,leasehold,1.8,7.79,28.88,0.32,26,Krishnagiri_Taluk_1
Krishnagiri,house,997,1343.57,1,1,1,5672062.4,11.66082,79.46165,leasehold,4.29,4.21,22.43,0.18,22,Krishnagiri_Taluk_1
Krishnagiri,flat,1541,1541.0,1,2,24,7136281.19,9.78728,77.97851,freehold,13.97,5.07,9.24,0.38,26,Krishnagiri_Taluk_7
Krishnagiri,commercial,548,967.92,1,1,15,2187296.49,12.7135,78.4254,freehold,9.72,9.33,17.58,0.35,28,Krishnagiri_Taluk_8
Krishnagiri,plot,2800,6084.57,4,5,21,10506736.0,9.63596,76.73341,freehold,16.89,4.69,16.77,0.16,42,Krishnagiri_Taluk_7
Krishnagiri,plot,2324,5190.36,3,2,26,9111262.32,11.25342,79.40774,freehold,4.84,7.26,20.41,0.29,58,Krishnagiri_Taluk_6
Krishnagiri,plot,2029,5049.62,2,3,13,8178315.59,10.32442,76.71451,freehold,19.34,9.12,16.16,0.22,30,Krishnagiri_Taluk_7
Krishnagiri,house,456,1082.79,1,2,33,1469894.95,8.4537,77.65867,freehold,3.66,5.83,28.41,0.11,52,Krishnagiri_Taluk_5
Krishnagiri,house,3334,5818.74,4,5,44,8756160.38,12.76219,78.65859,leasehold,16.98,5.77,21.57,0.23,34,Krishnagiri_Taluk_6
Krishnagiri,house,3596,8918.33,4,4,7,20227983.57,10.13978,77.98314,freehold,3.27,4.66,17.13,0.5,51,Krishnagiri_Taluk_8
Krishnagiri,flat,3664,3664.0,5,5,35,12276811.0,9.91422,78.41052,freehold,2.24,4.11,23.58,0.27,16,Krishnagiri_Taluk_2
Krishnagiri,plot,1715,2758.87,3,4,32,7538177.57,10.45435,78.38842,freehold,23.72,1.62,16.41,0.49,40,Krishnagiri_Taluk_10
Krishnagiri,flat,3724,3724.0,4,4,1,22530972.29,9.65172,76.68062,leasehold,19.96,5.45,27.37,0.3,20,Krishnagiri_Taluk_9
